id;title;type;value;weight;armorValue;damageValue;damageType;hitBonus;healAmount;keywords;description
65;a Strongsleeves Coat;armor;1500;7;4;;;;;strong sleeves jacket;This Strongsleeves Coat is made of thick, heavy fabric to protect the wearer somewhat, like a light gambeson, and is said to energize the wearer's muscles.
66;a Thinking Cap;headgear;750;1;1;;;;;hat;A cheekily named Thinking Cap, this festively colored, woven beret is said to clear the wearer's thoughts.
67;Foesbane Gloves;gloves;1200;2;2;;;;;;A pair of ambitiously named Foesbane Gloves, made of stout leather and said to enable the wearer to fight more effectively.
68;Truestrike Gloves;gloves;1200;2;2;;;;;;A pair of black, leather Truestrike Gloves, these are said to make it easier to strike an opponent in a fight.
69;a Protection Charm;offhand;750;1;;;;;;;A small charm wrought of semi-precious metals, this Protection Charm is said to be imbued with magic that will protect whosoe'er carries it from harm.
70;Deftstep Boots;footwear;1200;2;2;;;;;;A set of thin, leather Deftstep Boots, said to quicken the wearer's step and make them harder to hit in a fight.
71;a Scaleskin Jacket;armor;1500;10;12;;;;;;A leather Scaleskin Jacket, taking its name from the embossed reptile scale pattern over its surface.  It is said to grant more protection to the wearer than just the leather normally would.
72;a wooden shield with bright floral decoration;offhand;50;8;5;;;;;;A wooden shield, painted with a lovely floral design in many bright, beautiful colors.  It seems sturdy enough for play fighting might not be meant for combat duty.
73;a silver and gold filigreed shield;offhand;800;15;5;;;;;;A silver and gold filigreed shield, this work of art depicts a floral scene.  It is polished to a mirror shine and meant to demonstrate wealth rather than prowess, though you could get some limited mileage out of it in light battle.
74;a basic shield;offhand;250;10;7;;;;;;A basic shield of reinforced metal, this piece is combat-ready and would serve a typical footsoldier nicely.  This otherwise simple shield is painted with some interesting geometric shapes in primary colors.
75;A Guide to the Five Realms of the Drear;book;20;1;;;;;;tome volume;A book titled A Guide to the Five Realms of the Drear.  It looks to be on the newer side, suggesting it was recently enough printed to be of relevance.
76;A Field Guide for Soldiers of the Empire of the Sky;book;5;1;;;;;;tome volume;A book titled A Field Guide for Soldiers of the Empire of the Sky.  It is beaten and worn, the spine threatening to let go of several pages, and has clearly been flipped through many, many times.
77;Personal Growth: The Lifelight and You;book;20;1;;;;;;tome volume;A book titled Personal Growth: The Lifelight and You.  To your surprise, a quick rifle through the pages gives the impression of some very useful information.
78;A Contemporary Discussion of the Realms;book;20;1;;;;;;tome volume;A book titled A Contemporary Discussion of the Realms.  It looks to be on the newer side, suggesting it was recently enough printed to be of relevance.
79;Filstred’s Guide to Life on the Continent;book;15;1;;;;;;tome volume;An outsized book, with a heavy wooden hardcover, titled Filstred’s Guide to Life on the Continent.  There is something fishy about it, like it doesn't fit in your hands properly.  No, more like it doesn't fit in your eyes properly.  No, it's something else...
